Date,Scenario,Num Value,Numerator,Denom Value,Denominator,Driver,Parent,Driver Value
2020-08-01,ACTUALS,1393070.0699999991,Revenue,2811.0,Items,Revenue/Items,Revenue,495.57811099252905
2020-09-01,ACTUALS,1137262.2600000005,Revenue,2422.0,Items,Revenue/Items,Revenue,469.555020644096
2020-08-01,PLAN,1653423.0,Revenue,3025.0,Items,Revenue/Items,Revenue,546.5861157024793
2020-09-01,PLAN,2453030.0,Revenue,3300.0,Items,Revenue/Items,Revenue,743.3424242424243
2020-08-01,ACTUALS,2811.0,Items,102.0,SKU,Items/SKU,Revenue,27.558823529411764
2020-09-01,ACTUALS,2422.0,Items,95.0,SKU,Items/SKU,Revenue,25.49473684210526
2020-08-01,PLAN,3025.0,Items,110.0,SKU,Items/SKU,Revenue,27.5
2020-09-01,PLAN,3300.0,Items,110.0,SKU,Items/SKU,Revenue,30.0
2020-08-01,ACTUALS,102.0,SKU,948.0,Invoice,SKU/Invoice,Revenue,0.10759493670886076
2020-09-01,ACTUALS,95.0,SKU,859.0,Invoice,SKU/Invoice,Revenue,0.11059371362048893
2020-08-01,PLAN,110.0,SKU,1100.0,Invoice,SKU/Invoice,Revenue,0.1
2020-09-01,PLAN,110.0,SKU,1200.0,Invoice,SKU/Invoice,Revenue,0.09166666666666666
2020-08-01,ACTUALS,948.0,Invoice,99.0,Product Line,Invoice/Product Line,Revenue,9.575757575757576
2020-09-01,ACTUALS,859.0,Invoice,91.0,Product Line,Invoice/Product Line,Revenue,9.43956043956044
2020-08-01,PLAN,1100.0,Invoice,110.0,Product Line,Invoice/Product Line,Revenue,10.0
2020-09-01,PLAN,1200.0,Invoice,110.0,Product Line,Invoice/Product Line,Revenue,10.909090909090908
2020-08-01,ACTUALS,99.0,Product Line,274.0,Account,Product Line/Cust Name,Revenue,0.3613138686131387
2020-09-01,ACTUALS,91.0,Product Line,268.0,Account,Product Line/Cust Name,Revenue,0.33955223880597013
2020-08-01,PLAN,110.0,Product Line,320.0,Account,Product Line/Cust Name,Revenue,0.34375
2020-09-01,PLAN,110.0,Product Line,320.0,Account,Product Line/Cust Name,Revenue,0.34375
2020-08-01,ACTUALS,274.0,Account,143.0,Rep,Account/Rep,Revenue,1.916083916083916
2020-09-01,ACTUALS,268.0,Account,136.0,Rep,Account/Rep,Revenue,1.9705882352941178
2020-08-01,PLAN,320.0,Account,160.0,Rep,Account/Rep,Revenue,2.0
2020-09-01,PLAN,320.0,Account,160.0,Rep,Account/Rep,Revenue,2.0
2020-08-01,ACTUALS,143.0,Rep,23.0,Manager,Rep/Manager,Revenue,6.217391304347826
2020-09-01,ACTUALS,136.0,Rep,23.0,Manager,Rep/Manager,Revenue,5.913043478260869
2020-08-01,PLAN,160.0,Rep,30.0,Manager,Rep/Manager,Revenue,5.333333333333333
2020-09-01,PLAN,160.0,Rep,30.0,Manager,Rep/Manager,Revenue,5.333333333333333
2020-08-01,ACTUALS,23.0,Manager,18.0,Team,Manager/Team,Revenue,1.2777777777777777
2020-09-01,ACTUALS,23.0,Manager,18.0,Team,Manager/Team,Revenue,1.2777777777777777
2020-08-01,PLAN,30.0,Manager,18.0,Team,Manager/Team,Revenue,1.6666666666666667
2020-09-01,PLAN,30.0,Manager,18.0,Team,Manager/Team,Revenue,1.6666666666666667
2020-08-01,ACTUALS,18.0,Team,5.0,Market,Team/Market,Revenue,3.6
2020-09-01,ACTUALS,18.0,Team,5.0,Market,Team/Market,Revenue,3.6
2020-08-01,PLAN,18.0,Team,5.0,Market,Team/Market,Revenue,3.6
2020-09-01,PLAN,18.0,Team,5.0,Market,Team/Market,Revenue,3.6
2020-08-01,ACTUALS,5.0,Market,1.0,1,Market,Revenue,5.0
2020-09-01,ACTUALS,5.0,Market,1.0,1,Market,Revenue,5.0
2020-08-01,PLAN,5.0,Market,1.0,1,Market,Revenue,5.0
2020-09-01,PLAN,5.0,Market,1.0,1,Market,Revenue,5.0
