Date,Scenario,CAE,SKU
9/19/2020,ACTUALS,Wang,8Y1749      
9/28/2020,ACTUALS,Smith,YU3661      
9/28/2020,ACTUALS,Smith,YU3661      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Garcia,8K1421      
9/28/2020,ACTUALS,Garcia,YU3661      
9/28/2020,ACTUALS,Garcia,YU3661      
9/28/2020,ACTUALS,Murphy,9X4081      
9/28/2020,ACTUALS,Garcia,RD1460      
9/28/2020,ACTUALS,Murphy,RD1459      
9/28/2020,ACTUALS,Ianova,RD1460      
9/28/2020,ACTUALS,Ianova,RD1460      
9/28/2020,ACTUALS,Murphy,ZH1618      
9/28/2020,ACTUALS,Ianova,4J6216      
9/28/2020,ACTUALS,Ianova,8K1421      
9/28/2020,ACTUALS,Ianova,8K1421      
9/28/2020,ACTUALS,Murphy,YU3661      
9/28/2020,ACTUALS,Murphy,YU3661      
9/28/2020,ACTUALS,Murphy,YU3661      
9/28/2020,ACTUALS,Murphy,YU3661      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Smith,RD1459      
9/28/2020,ACTUALS,Smith,RD1459      
9/28/2020,ACTUALS,Smith,RD1459      
9/28/2020,ACTUALS,Ianova,RD1459      
9/28/2020,ACTUALS,Smith,ZH1618      
9/28/2020,ACTUALS,Smith,YU3661      
9/28/2020,ACTUALS,Smith,YU3661      
9/28/2020,ACTUALS,Smith,YU3661      
9/28/2020,ACTUALS,Smith,YU3661      
9/28/2020,ACTUALS,Smith,YU3661      
9/28/2020,ACTUALS,Smith,8X7230      
9/28/2020,ACTUALS,Smith,8K1221      
9/28/2020,ACTUALS,Smith,RP6696      
9/28/2020,ACTUALS,Smith,RP6696      
9/28/2020,ACTUALS,Smith,RP6696      
9/28/2020,ACTUALS,Wang,YZ3602      
9/28/2020,ACTUALS,Wang,2JQ956      
9/28/2020,ACTUALS,Wang,YZ3604      
9/28/2020,ACTUALS,Wang,RD1460      
9/28/2020,ACTUALS,Wang,YU3661      
9/28/2020,ACTUALS,Wang,YU3661      
