Branch Customer Nbr,Cust_Name,Vendor Nbr,Vendor Name,Sku,Invoice Number,Product Description 1,Product Description 2,Date,Sales Associate Name,Sales Manager Code,Ossalesman,Ordered Quantity,Net Sales,Fiscal Quarter,Quarter Week,Fiscal Year,State Code,Fiscal Month Name,Region,New Region,Named Owner,Training CAS,Pro CAS,CAE,Category,Top SE,TEP,BU
14622801,VMWARE INC - PTS                   ,525U,INGRAM MICRO TRAINING - CISCO      ,8Y1749,148600311,VMWARE VSAN DEPLOY AND MANAGE  ,V6.6 VSANDM66-OE,9/19/2020,PROF TRAINING & SERVICES-VENDOR    ,C6,9009,1,3120,3,12,2020,CA,September,West,West,#N/A,Lipovsky,Bachulak,Barish,IMT,#N/A,#N/A,PTS
7433901,TECHNOLOGY RECOVERY GROUP LTD      ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,72605211,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,9/28/2020,ALLEN DYSON                        ,2,3321,1,2027,3,13,2020,OH,September,Great Lakes,Great Lakes,Renee Iovieno,Genco,Gorman,Beach,IMDS,#N/A,#N/A,DCPOS
7433901,TECHNOLOGY RECOVERY GROUP LTD      ,189Y,"INGRAM MICRO SERVICES, LLC         ",YU3661,72605311,DEPLOYMENT SVC PRICED PER QUOTE,                                   ,9/28/2020,ALLEN DYSON                        ,2,3321,1,907.5,3,13,2020,OH,September,Great Lakes,Great Lakes,Renee Iovieno,Genco,Gorman,Beach,IMDS,#N/A,#N/A,DCPOS
14934871,FIELDS CONSULTING GROUP INC        ,9458,IM LINK US                         ,RD1460,149707011,IM LINK IMPLEMENTT REQUEST     ,MINIMUM 2 HOURS SERVICE,9/28/2020,MIKE BENNETT HUGHES                ,AS,9009,1,230,3,13,2020,AZ,September,West,West,Justin Bachulak,Lipovsky,Bachulak,Barish,IML,0,#N/A,SMB
14934871,FIELDS CONSULTING GROUP INC        ,9458,IM LINK US                         ,RD1460,149708011,IM LINK IMPLEMENTT REQUEST     ,MINIMUM 2 HOURS SERVICE,9/28/2020,MIKE BENNETT HUGHES                ,AS,9009,1,275,3,13,2020,AZ,September,West,West,Justin Bachulak,Lipovsky,Bachulak,Barish,IML,0,#N/A,SMB
14934871,FIELDS CONSULTING GROUP INC        ,9458,IM LINK US                         ,RD1460,149708711,IM LINK IMPLEMENTT REQUEST     ,MINIMUM 2 HOURS SERVICE,9/28/2020,MIKE BENNETT HUGHES                ,AS,9009,1,275,3,13,2020,AZ,September,West,West,Justin Bachulak,Lipovsky,Bachulak,Barish,IML,0,#N/A,SMB
14934871,FIELDS CONSULTING GROUP INC        ,9458,IM LINK US                         ,RD1460,149710311,IM LINK IMPLEMENTT REQUEST     ,MINIMUM 2 HOURS SERVICE,9/28/2020,MIKE BENNETT HUGHES                ,AS,9009,1,207.5,3,13,2020,AZ,September,West,West,Justin Bachulak,Lipovsky,Bachulak,Barish,IML,0,#N/A,SMB
14934871,FIELDS CONSULTING GROUP INC        ,9458,IM LINK US                         ,RD1460,149712211,IM LINK IMPLEMENTT REQUEST     ,MINIMUM 2 HOURS SERVICE,9/28/2020,MIKE BENNETT HUGHES                ,AS,9009,1,230,3,13,2020,AZ,September,West,West,Justin Bachulak,Lipovsky,Bachulak,Barish,IML,0,#N/A,SMB
14934871,FIELDS CONSULTING GROUP INC        ,9458,IM LINK US                         ,RD1460,149714411,IM LINK IMPLEMENTT REQUEST     ,MINIMUM 2 HOURS SERVICE,9/28/2020,MIKE BENNETT HUGHES                ,AS,9009,1,207.5,3,13,2020,AZ,September,West,West,Justin Bachulak,Lipovsky,Bachulak,Barish,IML,0,#N/A,SMB
14934871,FIELDS CONSULTING GROUP INC        ,9458,IM LINK US                         ,RD1460,149896811,IM LINK IMPLEMENTT REQUEST     ,MINIMUM 2 HOURS SERVICE,9/28/2020,MIKE BENNETT HUGHES                ,AS,9009,1,280,3,13,2020,AZ,September,West,West,Justin Bachulak,Lipovsky,Bachulak,Barish,IML,0,#N/A,SMB
