Date,variable,Scenario,value
2020-06-30,Cash Balance,VIVA EVE - Expansion,3500000.0
2020-06-30,Locations,VIVA EVE - Expansion,2.0
2020-06-30,Exam Room Available Hours,VIVA EVE - Expansion,1500.0
2020-06-30,Exam Room Hours,VIVA EVE - Expansion,4400.0
2020-06-30,Exam Rooms,VIVA EVE - Expansion,6.0
2020-06-30,Medical Support Staff,VIVA EVE - Expansion,35.0
2020-06-30,Staff Employees,VIVA EVE - Expansion,17.0
2020-06-30,Total Employees,VIVA EVE - Expansion,61.0
2020-06-30,Ad Dollars,VIVA EVE - Expansion,35268.0
2020-06-30,Impressions,VIVA EVE - Expansion,1852462.0
2020-06-30,Clicks,VIVA EVE - Expansion,29424.0
2020-06-30,Prospects,VIVA EVE - Expansion,1351.0
2020-06-30,Leads,VIVA EVE - Expansion,793.0
2020-06-30,Opportunities,VIVA EVE - Expansion,176.0
2020-06-30,New Visits,VIVA EVE - Expansion,109.0
2020-06-30,Visits,VIVA EVE - Expansion,729.1666666666666
2020-06-30,Patient Available Hours,VIVA EVE - Expansion,555.0
2020-06-30,Provider Available Hours,VIVA EVE - Expansion,555.0
2020-06-30,Actual Hours Worked,VIVA EVE - Expansion,565.0
2020-06-30,Scheduled Hours,VIVA EVE - Expansion,565.0
2020-06-30,Provider,VIVA EVE - Expansion,7.0
2020-06-30,Net Revenue,VIVA EVE - Expansion,1170671.6666666667
2020-06-30,Gross Revenue,VIVA EVE - Expansion,8194701.666666667
2020-06-30,Procedures,VIVA EVE - Expansion,4010.0
2020-06-30,Visits(excess),VIVA EVE - Expansion,729.1666666666666
2020-06-30,Net Income,VIVA EVE - Expansion,278034.5208333333
2020-06-30,EBT,VIVA EVE - Expansion,374011.63982360536
2020-06-30,EBIT,VIVA EVE - Expansion,343468.8282914033
2020-06-30,EBITDA,VIVA EVE - Expansion,292667.9166666667
2020-06-30,Free Cash Flow,VIVA EVE - Expansion,118359.29551874999
2020-06-30,CFO,VIVA EVE - Expansion,275254.175625
2020-06-30,CFI,VIVA EVE - Expansion,-7851.92
2020-06-30,CFO+CFI,VIVA EVE - Expansion,267402.255625
2020-06-30,CFO Additions to Working Capital,VIVA EVE - Expansion,-711153.236588754
2020-06-30,CFO Non-cash Charges,VIVA EVE - Expansion,34171.33615426082
2020-07-31,Cash Balance,VIVA EVE - Expansion,3571016.0
2020-07-31,Locations,VIVA EVE - Expansion,2.0
2020-07-31,Exam Room Available Hours,VIVA EVE - Expansion,1515.0
2020-07-31,Exam Room Hours,VIVA EVE - Expansion,4400.0
2020-07-31,Exam Rooms,VIVA EVE - Expansion,6.0
2020-07-31,Medical Support Staff,VIVA EVE - Expansion,35.0
