Date,Revenue,Items,SKU,Invoice,Product Line,Account,Rep,Manager,Team,Market,Scenario
2020-01-31,918319.0,2062.5,100.0,750.0,100.0,280.0,150.0,30.0,18.0,5.0,PLAN
2020-02-28,1226239.0,2750.0,100.0,1000.0,100.0,280.0,150.0,30.0,18.0,5.0,PLAN
2020-03-31,1958316.0,3025.0,100.0,1100.0,100.0,280.0,150.0,30.0,18.0,5.0,PLAN
2020-04-30,1534156.0,2200.0,105.0,800.0,105.0,300.0,155.0,30.0,18.0,5.0,PLAN
2020-05-31,1940904.0,2887.5,105.0,1050.0,105.0,300.0,155.0,30.0,18.0,5.0,PLAN
2020-06-30,2413310.0,3162.5,105.0,1150.0,105.0,300.0,155.0,30.0,18.0,5.0,PLAN
2020-07-31,1440472.0,2337.5,110.0,850.0,110.0,320.0,160.0,30.0,18.0,5.0,PLAN
2020-08-31,1653423.0,3025.0,110.0,1100.0,110.0,320.0,160.0,30.0,18.0,5.0,PLAN
2020-09-30,2453030.0,3300.0,110.0,1200.0,110.0,320.0,160.0,30.0,18.0,5.0,PLAN
2020-10-31,1934594.0,2475.0,115.0,900.0,115.0,340.0,165.0,30.0,18.0,5.0,PLAN
2020-11-30,1714037.0,3162.5,115.0,1150.0,115.0,340.0,165.0,30.0,18.0,5.0,PLAN
2020-12-31,1963400.0,3437.5,115.0,1250.0,115.0,340.0,165.0,30.0,18.0,5.0,PLAN
2021-01-31,1732534.37,2612.5,120.0,950.0,120.0,360.0,170.0,30.0,18.0,5.0,PLAN
2021-02-28,2132437.884,3300.0,120.0,1200.0,120.0,360.0,170.0,30.0,18.0,5.0,PLAN
2021-03-31,2915658.584,3575.0,120.0,1300.0,120.0,360.0,170.0,30.0,18.0,5.0,PLAN
2021-04-30,2317351.894,2750.0,125.0,1000.0,125.0,380.0,175.0,30.0,18.0,5.0,PLAN
2021-05-31,2644168.564,3437.5,125.0,1250.0,125.0,380.0,175.0,30.0,18.0,5.0,PLAN
2021-06-30,3382088.927,3712.5,125.0,1350.0,125.0,380.0,175.0,30.0,18.0,5.0,PLAN
